datasetid,sitename,lon,lat,,,,,,,,,,,
3802,Devils Lake,-89.73205,43.4178,,,,,,,,,,,
3120,Dismal Swamp (4),-76.47917,36.65,,,,,,,,,,,
3119,Dismal Swamp (6),-76.36667,36.66667,,,,,,,,,,,
702,Miriam Lake,-63.88,59.55,,,,,,,,,,,
703,Two Loon Lake,-64.18,59.47,,,,,,,,,,,
704,Nakvak Lake,-63.75,58.63,,,,,,,,,,,
705,Lac Tasiguluk,-64.03,58.37,,,,,,,,,,,
706,Site 1 (Elliot-Fisk et al. 1982),-63.95,58.27,,,,,,,,,,,
707,Site 2 (Elliot-Fisk et al. 1982),-63.37,58.67,,,,,,,,,,,
3102,Site 3 (Elliot-Fisk et al. 1982),-63.55,58.37,,,,,,,,,,,
709,Site 4 (Elliot-Fisk et al. 1982),-65.25,57.5,,,,,,,,,,,
3111,Helen Chutes,-65.77,58.18,,,,,,,,,,,
711,Lac Daniel,-65.25,58.33,,,,,,,,,,,
712,Site 5 (Elliot-Fisk et al. 1982),-65.1,58.43,,,,,,,,,,,
713,Saint John's Harbour,-62.78,58.45,,,,,,,,,,,
714,Site 6 (Elliot-Fisk et al. 1982),-65.17,58.47,,,,,,,,,,,
3550,Dosquet,-71.5,46.45,,,,,,,,,,,
725,Jones Lake (US:North Carolin),-78.6,34.68,,,,,,,,,,,
726,White Lake,-78.5,34.65,,,,,,,,,,,
727,Salters Lake,-78.63,34.72,,,,,,,,,,,
728,Singletary Lake Site 1,-78.47,34.6,,,,,,,,,,,
729,Singletary Lake Site 2,-78.47,34.59,,,,,,,,,,,
730,Arbutus Lake,-74.24115,43.98799,,,,,,,,,,,
731,Avalanche Lake,-73.96714,44.13296,,,,,,,,,,,
732,Bear Pond,-74.28693,44.39925,,,,,,,,,,,
733,Cat Mountain Pond,-74.86271,44.09574,,,,,,,,,,,
734,Clear P. (P.L.),-73.59365,43.83961,,,,,,,,,,,
735,Copperas Pond (WilmingtonNotch),-73.89941,44.3303,,,,,,,,,,,
736,Copperas Pond (Fish Creek),-74.37626,44.31405,,,,,,,,,,,
737,Cowhorn Pond,-74.85042,44.09269,,,,,,,,,,,
738,Crane Mountain Pond,-73.97319,43.55078,,,,,,,,,,,
739,Crystal Lake (NY),-73.74182,43.65503,,,,,,,,,,,
740,Deep Lake,-74.66264,43.61873,,,,,,,,,,,
741,Deer Lake,-74.25202,44.03971,,,,,,,,,,,
742,Dunk Pond,-74.17018,43.83187,,,,,,,,,,,
743,East Copperas Pond,-74.37179,44.31315,,,,,,,,,,,
744,Frank Pond,-74.16333,43.86151,,,,,,,,,,,
745,Giant Washbowl,-73.74018,44.14299,,,,,,,,,,,
746,Green Pond,-74.29818,44.38231,,,,,,,,,,,
747,Gull Pond,-73.70797,43.83219,,,,,,,,,,,
748,Heart Lake,-73.96963,44.18236,,,,,,,,,,,
749,Huntley Pond,-74.11884,43.83234,,,,,,,,,,,
750,Lake Madeleine [Jenkins Pond],-74.46382,44.12511,,,,,,,,,,,
751,Site 21 (Whitehead and Jackson 1990),-74.2,44.13,,,,,,,,,,,
752,Lake Colden,-73.97906,44.12339,,,,,,,,,,,
753,Lake Ozonia,-74.60871,44.59149,,,,,,,,,,,
