"","site.name","lat","long","51.80","86.15","Abies","Acer","Alnus rubra","Alnus rugosa","AlnusXC","Aquifoliaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Cactaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Chenopodiaceae/Amaranthaceae","Chrysolepis/Lithocarpus","Corylus","Cupressaceae","Cyperaceae","Dryas","Ephedra","Ericaceae","Fagus","Fraxinus nigra","Fraxinus pennsylvanica/americana","Iva","Juglans","Larix/Pseudotsuga","Larrea","Liquidambar","Minor Forbs","Myricaceae","Nyssa","Ostrya/Carpinus","Oxyria","Papaveraceae","Picea","Pinus diploxylon","Pinus haploxylon","Pinus undifferentiated","Plantaginaceae","Platanus","Poaceae","Poaeceae","Populus","Prosopis","Pteridium","Quercus","Rosaceae","Salix","Sarcobatus","Saxifraga","Sphagnum","Taxodium","Tilia","Total Fraxinus (sum of nigra/penn/undiff)","Total Lycopodium","Tsuga heterophylla","Tsuga mertensiana","Tsuga undifferentiated","Ulmus"
"38","Arena15",43.08,-89.88,7.01250016594099,7.72444455191079,0,1,0,0,2,0,0,0,3,3,0,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,17,0,0,0,0,82,0,0,0,0,0,0,0,4,0,0,0,0,17
"39","Brighm25",43.05,-89.87,7.01250016594099,7.72444455191079,0,3,0,0,0,0,0,0,4,6,0,0,14,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,35,0,0,0,0,93,0,1,0,0,0,0,0,1,0,0,0,0,6
"40","Brighm24",43.07,-89.85,7.01250016594099,7.72444455191079,0,4,0,0,2,0,0,0,3,5,0,0,9,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,21,0,6,0,0,80,0,6,0,0,0,0,0,5,0,0,0,0,3
"41","Hillsbor",43.72,-90.38,6.67083348391785,7.57888902839688,0,2,0,0,2,0,0,0,2,13,0,0,13,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,15,6,0,110,0,0,0,0,86,0,0,0,0,0,0,2,3,0,0,0,0,21
"42","Hungry Jack Lake",48.15,-91.12,1.69222226594057,2.5213889060335,11,5,0,23,16,0,0,6,0,116,0,0,1,0,0,0,0,21,0,6,30,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,86,199,29,236,0,0,16,0,19,0,0,31,0,1,0,0,0,0,1,13,0,0,0,0,8
"43","Hell's Kitchen Lake",46.18693,-89.702685,3.36861119727708,4.05222229771316,4,6,0,0,22,0,0,7,1,77,0,0,0,0,0,0,0,12,0,1,28,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,7,0,0,89,0,0,18,0,17,0,0,12,0,7,0,0,0,0,1,2,0,0,0,20,2
"44","Greens Lake",42.28,-73.88,8.94916683625844,9.68055573031307,0,11,0,0,0,0,0,0,3,59,0,0,18,0,1,0,1,1,0,0,9,2,0,0,0,8,0,0,0,3,0,0,0,1,0,0,17,0,0,0,2,3,24,2,2,10,0,7,0,0,130,2,2,0,0,0,0,1,27,0,0,0,4,7
"45","Belmont Bog",42.25,-77.916667,6.47638901687331,6.88361122788241,0,32,0,0,4,0,0,0,0,14,0,0,9,0,1,0,64,3,0,0,0,0,0,0,113,11,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,43,93,10,3,45,0,2,0,0,53,9,7,0,0,190,0,2,5,0,0,0,20,5
"46","BI01",57.113333,-76.39,-6.39472233146016,-5.73083345461637,0,0,0,5,123,0,0,18,0,137,0,0,1,1,0,0,0,5,0,0,5,73,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.5,2,0,2,0,0,23,0,0,0,0,1,0,11,0,0,51,0,0,1,9,0,0,0,1
"47","Lake BI2",57.116667,-76.378333,-6.39472233146016,-5.73083345461637,0,0,0,1,89,0,0,16,0,136,0,0,0,0,0,0,0,4,0,0,3,81,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5,3,0,4,0,0,49,0,0,0,0,0,2,17,0,0,87,0,0,0,20,0,0,0,0
"48","BI03",57.123333,-76.405,-6.39472233146016,-5.73083345461637,0,0,0,7,70,0,0,26,0,99,0,0,0,0,0,0,0,3,0,1,2,55,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,266,6,0,3,0,0,12,0,0,0,0,1,0,5,0,0,93,0,0,0,8,0,0,0,0
"49","BI04",57.123333,-76.415,-6.39472233146016,-5.73083345461637,0,0,0,5,102,0,0,29,0,103,0,0,1,1,0,0,0,5,0,0,1,61,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,174,4,0,7,0,0,31,0,0,0,0,0,1,12,0,0,76,0,0,0,7,0,0,0,0
"50","BI05",57.125,-76.408333,-6.39472233146016,-5.73083345461637,0,0,0,2,58,0,0,23,0,82,0,0,0,2,0,0,0,5,0,0,2,77,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,187,2,0,9,1,0,25,0,0,0,1,1,1,8,0,0,86,0,0,0,9,0,0,0,0
"51","Big Lake (US:Arkansas)",35.908333,-90.108333,15.91277799567,16.3047225013375,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,10,0,0,0,0,40,0,136,0,0,0,40,0,7,0,0,0,0,7
"52","Lake BN1",55,-73.516667,-5.06138898858594,-4.47027786421694,0,0,0,7,77,0,0,4,0,82,0,0,0,0,0,0,0,2,0,0,4,13,0,0,5,0,0,0,0,0,3,0,0,0,4,0,1,0,0,366,6,0,3,0,0,4,0,0,0,0,1,0,3,0,0,30,0,0,1,1,0,0,0,0
